賃料（下限）	cond[monthmoneyroom]	下限なし	3.0万円	3.5万円	4.0万円	4.5万円	5.0万円	5.5万円	6.0万円	6.5万円	7.0万円	7.5万円	8.0万円	8.5万円	9.0万円	9.5万円	10万円	11万円	12万円	13万円	14万円	15万円	16万円	17万円	18万円	19万円	20万円	30万円	50万円	100万円
フローリングvalue	cond[mcf][290101]	0	1																											
専用庭	cond[mcf][290201]	0	1																											
専用庭value	cond[mcf][290201]	0	1																											
バルコニー	cond[mcf][290401]	0	1																											
バルコニーvalue	cond[mcf][290401]	0	1																											
バリアフリー	cond[mcf][290601]	0	1																											
バリアフリーvalue	cond[mcf][290601]	0	1																											
ロフト付き	cond[mcf][290801]	0	1																											
ロフト付きvalue	cond[mcf][290801]	0	1																											
エレベーター	cond[mcf][320101]	0	1																											
エレベーターvalue	cond[mcf][320101]	0	1																											
信	CATV	cond[mcf][260101]	0	1																											
CATVvalue	cond[mcf][260101]	0	1																											
CSアンテナ	cond[mcf][260201]	0	1																											
CSアンテナvalue	cond[mcf][260201]	0	1																											
BSアンテナ	cond[mcf][260301]	0	1																											
BSアンテナvalue	cond[mcf][260301]	0	1																											
インターネット利用料無料	cond[mcf][263101]	0	1																											
インターネット利用料無料value	cond[mcf][263101]	0	1																											
ブロードバンド	cond[mcf][263301]	0	1																											
ブロードバンドvalue	cond[mcf][263301]	0	1																											
駐輪場	駐車場あり	cond[mcf][320801]	0	1																											
駐車場ありvalue	cond[mcf][320801]	0	1																											
バイク置き場あり	cond[mcf][320901]	0	1																											
バイク置き場ありvalue	cond[mcf][320901]	0	1																											
駐輪場あり	cond[mcf][321001]	0	1																											
駐輪場ありvalue	cond[mcf][321001]	0	1																											
ウォークインクローゼット	cond[mcf][250301]	0	1																											
ウォークインクローゼットvalue	cond[mcf][250301]	0	1																											
リフォーム・リノベーション済	cond[mcf][273201]	0	1																											
リフォーム・リノベーション済value	cond[mcf][273201]	0	1																											
家具・家電付	cond[mcf][293101]	0	1																											
家具・家電付value	cond[mcf][293101]	0	1																											
フロントサービス	cond[mcf][320401]	0	1																											
フロントサービスvalue	cond[mcf][320401]	0	1																											
デザイナーズ	cond[mcf][330101]	0	1																											
デザイナーズvalue	cond[mcf][330101]	0	1																											
タワーマンション	cond[mcf][330301]	0	1																											
タワーマンションvalue	cond[mcf][330301]	0	1																											
分譲賃貸	cond[mcf][331001]	0	1																											
